Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5,Attribute 6,Value 6,Schema URI 6,Attribute 7,Value 7,Schema URI 7
ERGO M575 Wireless Trackball for Business,https://www.logitech.com/en-us/products/mice/ergo-m575-for-business.html,ex:prod001,brand,Logitech,schema:brand,type,Trackball Mouse,ex:trackball_mouse,price,4999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,910-006197,schema:sku
MX MASTER 3S FOR BUSINESS,https://www.logitech.com/en-us/products/mice/mx-master-3s-business-wireless-mouse.html,ex:prod002,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,10999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,910-006581,schema:sku
MX Anywhere 3S,https://www.logitech.com/en-us/products/mice/mx-anywhere-3s-wireless-mouse.html,ex:prod003,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,8999.00,schema:price,currency,USD,schema:priceCurrency,color,Black,schema:color,sku,910-006928,schema:sku
MX Anywhere 3S,https://www.logitech.com/en-us/products/mice/mx-anywhere-3s.html,ex:prod004,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Rose,schema:color,sku,910-006927,schema:sku
MX ANYWHERE 3S FOR BUSINESS,https://www.logitech.com/en-us/products/mice/mx-anywhere-3s-business.html,ex:prod005,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,9999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,910-006956,schema:sku
Pebble Mouse 2 M350s,https://www.logitech.com/en-us/products/mice/pebble-2-m350s-wireless-mouse.html,ex:prod007,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,1999.00,schema:price,currency,USD,schema:priceCurrency,color,Tonal Graphite,schema:color,sku,910-007024,schema:sku
M240 for Business,https://www.logitech.com/en-us/products/mice/m240-wireless-mouse-business.html,ex:prod008,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,2499.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,910-007181,schema:sku
M340 Collection,https://www.logitech.com/en-us/products/mice/m340-wireless-mouse-collection.html,ex:prod009,brand,Logitech,schema:brand,type,Wireless Mouse,ex:wireless_mouse,price,1799.00,schema:price,currency,USD,schema:priceCurrency,color,Speckles,schema:color,sku,910-007281,schema:sku
Signature AI Edition M750 Wireless mouse,https://www.logitech.com/en-us/products/mice/signature-ai-edition-m750-wireless-mouse.html,ex:prod010,brand,Logitech,schema:brand,type,AI Mouse,ex:ai_mouse,price,4999.00,schema:price,currency,USD,schema:priceCurrency,color,Graphite,schema:color,sku,910-007396,schema:sku
MX Anywhere 3S for Mac,https://www.logitech.com/en-us/products/mice/mx-anywhere-3s-for-mac.html,ex:prod011,brand,Logitech,schema:brand,type,Mac Mouse,ex:mac_mouse,price,7999.00,schema:price,currency,USD,schema:priceCurrency,color,Pale Grey,schema:color,sku,910-006944,schema:sku
